,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
B3R3Y9,,B3R3Y9_CUPTR,,,,
B3RBU2,,B3RBU2_CUPTR,,,,
B3RD37,,B3RD37_CUPTR,,,,
B3SN60,,,,B3SN60_OCHCU,,
B3THN1,,,,B3THN1_MAMPR,,
B3VQI4,,,,B3VQI4_9TELE,,
B3XXA8,,,,B3XXA8_PROCO,,
B4DCW8,,,,B4DCW8_PROCA,,
B4DCY1,,,,B4DCY1_ELEMA,,
B4EA75,,B4EA75_BURCJ,,,,
B4ED66,,B4ED66_BURCJ,,,,
B4ENN5,,B4ENN5_BURCJ,,,,
B4EU45,,B4EU45_PROMH,,,,
B4F437,,,,B4F437_HOMNE,,
B4F7N4,,,,,,B4F7N4_HYDVU
B4RA81,,B4RA81_PHEZH,,,,
B4RAU5,,B4RAU5_PHEZH,,,,
B4REW9,,B4REW9_PHEZH,,,,
B4SM48,,B4SM48_STRM5,,,,
B4SP34,,B4SP34_STRM5,,,,
B4STH3,,B4STH3_STRM5,,,,
B4SWT4,,B4SWT4_SALNS,,,,
B4T9D7,,B4T9D7_SALHS,,,,
B4TMC0,,B4TMC0_SALSV,,,,
B4UEE1,,B4UEE1_ANASK,,,,
B4UKX4,,B4UKX4_ANASK,,,,
B4XAL1,,,,B4XAL1_URSTH,,
B4XHS7,,,,B4XHS7_EPICO,,
B4XHU0,,,,B4XHU0_EPIAK,,
B4XTL5,,,,B4XTL5_DIPMI,,
B4XTL6,,,,B4XTL6_DIPME,,
B4XTL7,,,,B4XTL7_DIPME,,
B4XTL8,,,,B4XTL8_DIPOR,,
B4XTL9,,,,B4XTL9_9RODE,,
B4XTM1,,,,B4XTM1_DIPME,,
B4XTM2,,,,B4XTM2_CHAIN,,
B4XTM3,,,,B4XTM3_9RODE,,
B4XTM6,,,,B4XTM6_DIPPA,,
B4XTM7,,,,B4XTM7_DIPME,,
B4XTM8,,,,B4XTM8_PERLO,,
B4XTM9,,,,B4XTM9_9RODE,,
B4XTN0,,,,B4XTN0_DIPOR,,
B4XTN1,,,,B4XTN1_DIPME,,
B4XTN4,,,,B4XTN4_DIPOR,,
B4XTN5,,,,B4XTN5_DIPOR,,
B4XTN7,,,,B4XTN7_CHAFO,,
B4XTN8,,,,B4XTN8_PERFA,,
B4XTP0,,,,B4XTP0_9RODE,,
B4XTR7,,,,B4XTR7_BOMBO,,
B4YSJ4,,,,B4YSJ4_9TELE,,
B4YSJ5,,,,B4YSJ5_9TELE,,
B4YSJ6,,,,B4YSJ6_9TELE,,
B4YSJ7,,,,B4YSJ7_9TELE,,
B4YSJ9,,,,B4YSJ9_9TELE,,
B4YSK0,,,,B4YSK0_9TELE,,
B4YSK1,,,,B4YSK1_9TELE,,
B4YSK2,,,,B4YSK2_9TELE,,
B4YSK3,,,,B4YSK3_9TELE,,
B4YSK4,,,,B4YSK4_9TELE,,
B4YSK5,,,,B4YSK5_9TELE,,
B4YSK6,,,,B4YSK6_9TELE,,
B4YSK7,,,,B4YSK7_MISAN,,
B4YSK8,,,,B4YSK8_MISMI,,
B4YSK9,,,,B4YSK9_9TELE,,
B4YSL0,,,,B4YSL0_9TELE,,
B4YSL1,,,,B4YSL1_9TELE,,
B4YSL2,,,,B4YSL2_BARTO,,
B5A1L9,,,,B5A1L9_BOMMX,,
B5AQF7,,,,B5AQF7_9CHON,,
B5B726,,,,B5B726_MYLPI,,
B5B8E7,,,,B5B8E7_URSTH,,
B5B8G0,,,,B5B8G0_URSSP,,
B5B8I6,,,,B5B8I6_9CARN,,
B5BD89,,B5BD89_SALPK,,,,
B5BQ19,,,,B5BQ19_9TELE,,
B5BQ32,,,,B5BQ32_HYPSJ,,
B5BQ45,,,,B5BQ45_9TELE,,
B5BQ58,,,,B5BQ58_9TELE,,
B5BQ74,,,,B5BQ74_9TELE,,
B5BQ87,,,,B5BQ87_ABLHI,,
B5DCA4,,,,B5DCA4_9CICH,,
B5DCB7,,,,B5DCB7_9CICH,,
B5DCD0,,,,B5DCD0_HYPTE,,
B5DCE3,,,,B5DCE3_KATKA,,
B5DCF6,,,,B5DCF6_9CICH,,
B5DCG9,,,,B5DCG9_TYLPO,,
B5EJ48,,B5EJ48_GEOBB,,,,
B5ENJ8,,B5ENJ8_ACIF5,,,,
B5EQY8,,B5EQY8_ACIF5,,,,
B5EXI2,,B5EXI2_SALA4,,,,
B5FKU7,,B5FKU7_SALDC,,,,
B5FWC7,,,,B5FWC7_9TELE,,
B5FWE2,,,,B5FWE2_9TELE,,
B5FWF5,,,,B5FWF5_9TELE,,
B5FWG8,,,,B5FWG8_MEGAM,,
B5FWI1,,,,B5FWI1_MISAN,,
B5FWJ4,,,,B5FWJ4_MYLPI,,
B5FWK7,,,,B5FWK7_9TELE,,
B5KGV0,,,,B5KGV0_9NEOB,,
B5KGV1,,,,B5KGV1_DUTME,,
B5KGV2,,,,B5KGV2_9NEOB,,
B5KGV3,,,,B5KGV3_DUTME,,
B5KM74,,,,B5KM74_9TELE,,
B5KMA5,,,,B5KMA5_9LABR,,
B5KMR6,,,,B5KMR6_HALTR,,
B5KN61,,,,B5KN61_PIG,,
B5KN74,,,,B5KN74_PIG,,
B5LAL4,,,,B5LAL4_9TELE,,
B5LMG7,,,,B5LMG7_PSERG,,
B5LMI6,,,,B5LMI6_ODOHE,,
B5M427,,,,B5M427_9AVES,,
B5M7Y6,,,,B5M7Y6_HUMAN,,
B5MF07,,,,B5MF07_9TELE,,
B5QTJ0,,B5QTJ0_SALEP,,,,
B5RIA8,,,,B5RIA8_SALSA,,
B5SRS8,,,,B5SRS8_LANCO,,
B5SRS9,,,,B5SRS9_9CORV,,
B5SRT1,,,,B5SRT1_9CORV,,
B5SRT2,,,,B5SRT2_9CORV,,
B5SRT3,,,,B5SRT3_9CORV,,
B5SRT4,,,,B5SRT4_9CORV,,
B5SRT9,,,,B5SRT9_9CORV,,
B5SRU0,,,,B5SRU0_9CORV,,
B5SRU3,,,,B5SRU3_LANCO,,
B5SRU5,,,,B5SRU5_9CORV,,
B5SRU8,,,,B5SRU8_9PASS,,
B5SRU9,,,,B5SRU9_9PASS,,
B5TD30,,,,B5TD30_PAPBU,,
B5TD31,,,,B5TD31_PAPBU,,
B5TD32,,,,B5TD32_PAPBU,,
B5TD35,,,,B5TD35_PAPBU,,
B5TD38,,,,B5TD38_PAPBU,,
B5TD42,,,,B5TD42_PAPBU,,
B5TD43,,,,B5TD43_PAPBU,,
B5TD45,,,,B5TD45_PAPBU,,
B5TD46,,,,B5TD46_PAPBU,,
B5TD48,,,,B5TD48_PAPBU,,
B5TD49,,,,B5TD49_PAPBU,,
B5TD50,,,,B5TD50_PAPBU,,
B5TD51,,,,B5TD51_PAPBU,,
B5TD52,,,,B5TD52_PAPBU,,
B5THJ3,,,,B5THJ3_HORSE,,
B5TY20,,,,B5TY20_CANLU,,
B5U133,,,,B5U133_9TELE,,
B5U2C1,,,,B5U2C1_9TELE,,
B5U2C3,,,,B5U2C3_9TELE,,
B5U2C4,,,,B5U2C4_9TELE,,
B5U2C5,,,,B5U2C5_9TELE,,
B5U4G4,,,,B5U4G4_LUTBE,,
B5U9L4,,,,B5U9L4_9TELE,,
B5WZ53,,,,B5WZ53_XIPMA,,B5WZ53_XIPMA
B5WZ66,,,,B5WZ66_9TELE,,
B5WZ79,,,,B5WZ79_9TELE,,
B5WZ92,,,,B5WZ92_JORFL,,
B5WZA5,,,,B5WZA5_9TELE,,
B5WZB8,,,,B5WZB8_XENTU,,
B5WZE4,,,,B5WZE4_9TELE,,
B5WZF7,,,,B5WZF7_THAMO,,
B5WZH0,,,,B5WZH0_9TELE,,
B5WZI3,,,,B5WZI3_9TELE,,
B5WZJ6,,,,B5WZJ6_CHIRT,,
B5Y0U9,,B5Y0U9_KLEP3,,,,
B5Z3T7,,B5Z3T7_ECO5E,,,,
B5ZEX3,,B5ZEX3_GLUDA,,,,
B5ZKU5,,B5ZKU5_GLUDA,,,,
B5ZLI7,,B5ZLI7_GLUDA,,,,
B5ZSV1,,B5ZSV1_RHILW,,,B5ZSV1_RHILW,
B5ZTY6,,B5ZTY6_RHILW,,,,
B6A1E9,,B6A1E9_RHILW,,,,
B6A423,,B6A423_RHILW,,,,
B6CGQ1,,,,B6CGQ1_9CHIR,,
B6CHX4,,,,B6CHX4_9TELE,,
B6CHX5,,,,B6CHX5_9TELE,,
B6CHX6,,,,B6CHX6_9TELE,,
B6CHX7,,,,B6CHX7_9TELE,,
B6CHX8,,,,B6CHX8_9TELE,,
B6CHX9,,,,B6CHX9_RHAQU,,
B6CHY0,,,,B6CHY0_9TELE,,
B6CHY1,,,,B6CHY1_9TELE,,
B6CHY2,,,,B6CHY2_9TELE,,
B6CHY3,,,,B6CHY3_9TELE,,
B6CHY4,,,,B6CHY4_9TELE,,
B6CHY5,,,,B6CHY5_9TELE,,
B6CHY6,,,,B6CHY6_MALEL,,
B6CHY7,,,,B6CHY7_9TELE,,
B6CHY8,,,,B6CHY8_9TELE,,
B6CHY9,,,,B6CHY9_9TELE,,
B6CHZ0,,,,B6CHZ0_9TELE,,
B6CHZ1,,,,B6CHZ1_9TELE,,
B6CHZ2,,,,B6CHZ2_9TELE,,
B6CHZ3,,,,B6CHZ3_9TELE,,
B6CJV3,,,,B6CJV3_FALTI,,
B6CMH4,,,,B6CMH4_URSSP,,
B6CTY1,,,,B6CTY1_URSAR,,
B6CWJ9,,,,B6CWJ9_BUNMU,,
B6CWM2,,,,B6CWM2_BUNFA,,
B6D5A3,,,,B6D5A3_9PASE,,
B6D5A4,,,,B6D5A4_DENKR,,
B6DA71,,,,B6DA71_NAJAT,,
B6DA84,,,,B6DA84_DEIAC,,
B6DA97,,,,B6DA97_GLOBR,,
B6DAB0,,,,B6DAB0_9SAUR,,
B6DCF6,,,,B6DCF6_NAJAT,,
B6DCG9,,,,B6DCG9_OPHHA,,
B6DVE9,,,,B6DVE9_BOSIN,,
B6DVF0,,,,B6DVF0_BUBBU,,
B6DZK7,,,,B6DZK7_PANTT,,
B6E4D6,,,,B6E4D6_9TELE,,
B6ECJ9,,,,B6ECJ9_SCARB,,
B6ED87,,,,B6ED87_LUTLU,,
B6HZN7,,B6HZN7_ECOSE,,,,
B6IRX6,,B6IRX6_RHOCS,,,,
B6IXF6,,B6IXF6_RHOCS,,,B6IXF6_RHOCS,
B6J055,,B6J055_COXB2,,,,
B6J6Z8,,B6J6Z8_COXB1,,,,
B6JDB6,,B6JDB6_OLICO,,,,
B6JUC3,,,,B6JUC3_EREIM,,
B6RAJ9,,,,B6RAJ9_9SAUR,,
B6RMS7,,,,B6RMS7_NINSC,,
B6RPV2,,,,B6RPV2_SPHBA,,
B6RPV4,,,,B6RPV4_9SCOM,,
B6RPV5,,,,B6RPV5_9SCOM,,
B6RPV6,,,,B6RPV6_9SCOM,,
B6RPV7,,,,B6RPV7_9SCOM,,
B6RPV8,,,,B6RPV8_9SCOM,,
B6RPV9,,,,B6RPV9_9SCOM,,
B6RPW1,,,,B6RPW1_9SCOM,,
B6RPW3,,,,B6RPW3_9SCOM,,
B6RPW4,,,,B6RPW4_9SCOM,,
B6RPW5,,,,B6RPW5_9SCOM,,
B6RPW7,,,,B6RPW7_9SCOM,,
B6RPW8,,,,B6RPW8_9SCOM,,
B6RPW9,,,,B6RPW9_9SCOM,,
B6RPX0,,,,B6RPX0_9SCOM,,
B6RPX1,,,,B6RPX1_9SCOM,,
B6RPX2,,,,B6RPX2_9SCOM,,
B6RPX5,,,,B6RPX5_9SCOM,,
B6RPX6,,,,B6RPX6_9SCOM,,
B6RPX7,,,,B6RPX7_9SCOM,,
B6RPX8,,,,B6RPX8_9SCOM,,
B6RPX9,,,,B6RPX9_9SCOM,,
B6RPY1,,,,B6RPY1_9SCOM,,
B6RPY2,,,,B6RPY2_9SCOM,,
B6RPY4,,,,B6RPY4_9SCOM,,
B6RPY6,,,,B6RPY6_9SCOM,,
B6RQW0,,,,B6RQW0_MACTH,,
B6RRL3,,,,B6RRL3_9TELE,,
B6VGE5,,,,B6VGE5_TRASC,,
B6VJF9,,,,B6VJF9_LUTKA,,
B6VJT8,,B6VJT8_VITVI,,,,B6VJT8_VITVI
B6ZBM0,,,,B6ZBM0_OSTTE,,
B6ZBM2,,,,B6ZBM2_OSTTE,,
B6ZBM3,,,,B6ZBM3_OSTTE,,
B6ZBM5,,,,B6ZBM5_OSTTE,,
B6ZC00,,,,B6ZC00_ACHME,,
B6ZC13,,,,B6ZC13_MARZI,,
B7FDQ7,,,,B7FDQ7_9TELE,,
B7FDS0,,,,B7FDS0_TAKNI,,
B7FDT3,,,,B7FDT3_TAKOB,,
B7FDU6,,,,B7FDU6_TAKPA,,
B7FDV9,,,,B7FDV9_9TELE,,
B7FDX2,,,,B7FDX2_9TELE,,
B7FDY5,,,,B7FDY5_9TELE,,
B7FDZ8,,,,B7FDZ8_9TELE,,
B7FE11,,,,B7FE11_9TELE,,
B7FE24,,,,B7FE24_9TELE,,
B7FE37,,,,B7FE37_9TELE,,
B7FE50,,,,B7FE50_9TELE,,
B7FE63,,,,B7FE63_9TELE,,
B7FE76,,,,B7FE76_9TELE,,
B7FE89,,,,B7FE89_9TELE,,
B7FEA2,,,,B7FEA2_9TELE,,
B7FEB5,,,,B7FEB5_CHEPT,,
B7GFX8,,B7GFX8_ANOFW,,,,
B7GGL9,,B7GGL9_ANOFW,,,,
B7GKS1,,B7GKS1_ANOFW,,,,
B7H0K4,,B7H0K4_ACIB3,,,,
B7H6S9,,B7H6S9_BACC4,,,,
B7HDC2,,B7HDC2_BACC4,,,,
B7HMC7,,B7HMC7_BACC7,,,,
B7HWC3,,B7HWC3_BACC7,,,,
B7IBB7,,B7IBB7_ACIB5,,,,
B7IVI0,,B7IVI0_BACC2,,,,
B7IXW9,,B7IXW9_BACC2,,,,
B7J5S9,,B7J5S9_ACIF2,,,,
B7JAQ3,,B7JAQ3_ACIF2,,,,
B7JK31,,B7JK31_BACC0,,,,
B7JQI5,,B7JQI5_BACC0,,,,
B7JVT7,,B7JVT7_CYAP8,,,,
B7KCJ1,,B7KCJ1_CYAP7,,,,
B7KL73,,B7KL73_CYAP7,,,,
B7KQT8,,B7KQT8_METC4,,,,
B7KVJ8,,B7KVJ8_METC4,,,,
B7L1M0,,B7L1M0_METC4,,,,
B7L668,,B7L668_ECO55,,,,
B7LME8,,B7LME8_ESCF3,,,,
B7M3S3,,B7M3S3_ECO8A,,,,
B7MD89,,B7MD89_ECO45,,,,
B7MQE6,,B7MQE6_ECO81,,,,
B7N8Y4,,B7N8Y4_ECOLU,,,,
B7NJ63,,B7NJ63_ECO7I,,,,
B7P670,,B7P670_IXOSC,,,,
B7S652,,,,B7S652_BROSU,,
B7S665,,,,B7S665_KINFI,,
B7S678,,,,B7S678_CHADI,,
B7S691,,,,B7S691_CHAMO,,
B7S6A4,,,,B7S6A4_CHAZE,,
B7S6B7,,,,B7S6B7_CHACY,,
B7S6D0,,,,B7S6D0_CHAAA,,
B7S6F6,,,,B7S6F6_CHACF,,
B7S6G9,,,,B7S6G9_CHAAF,,
B7S6I2,,,,B7S6I2_CHACM,,
B7S6J5,,,,B7S6J5_CHACM,,
B7S6K8,,,,B7S6K8_CHACM,,
B7S718,,,,B7S718_9SAUR,,
B7SAF1,,,,B7SAF1_9SAUR,,
B7SAG5,,,,B7SAG5_9SAUR,,
B7SAG7,,,,B7SAG7_9SAUR,,
B7SAK5,,,,B7SAK5_9SAUR,,
B7SAK6,,,,B7SAK6_9SAUR,,
B7SAL8,,,,B7SAL8_9SAUR,,
B7SAM0,,,,B7SAM0_9SAUR,,
B7SAN6,,,,B7SAN6_9SAUR,,
B7SAN7,,,,B7SAN7_9SAUR,,
B7SE63,,,,B7SE63_RATRT,,
B7SE76,,,,B7SE76_9MURI,,
B7SE89,,,,B7SE89_RATEX,,
B7SEC8,,,,B7SEC8_RATTA,,
B7SKU9,,,,B7SKU9_LARCR,,
B7SLQ5,,,,B7SLQ5_AGARS,,
B7SLR8,,,,B7SLR8_9AVES,,
B7SLT1,,,,B7SLT1_GEOCA,,
B7SLU4,,,,B7SLU4_9AVES,,
B7SLV7,,,,B7SLV7_TROVI,,
B7SLX0,,,,B7SLX0_TYTAL,,
B7SMY6,,,,B7SMY6_TARMA,,
B7SMZ9,,,,B7SMZ9_ANGFR,,
B7SN12,,,,B7SN12_BLACI,,
B7SNA3,,,,B7SNA3_9GOBI,,
B7SNA4,,,,B7SNA4_9GOBI,,
B7SNA5,,,,B7SNA5_9GOBI,,
B7SNB1,,,,B7SNB1_9GOBI,,
B7SNB3,,,,B7SNB3_9GOBI,,
B7SNB8,,,,B7SNB8_9GOBI,,
B7SNC1,,,,B7SNC1_9GOBI,,
B7SNC2,,,,B7SNC2_9GOBI,,
B7SNC4,,,,B7SNC4_9GOBI,,
B7SNC5,,,,B7SNC5_9GOBI,,
B7SNC6,,,,B7SNC6_9GOBI,,
B7SNC7,,,,B7SNC7_9GOBI,,
B7SNC8,,,,B7SNC8_ZOSOP,,
B7TCT8,,,,B7TCT8_HUMAN,,
B7TD03,,,,B7TD03_HUMAN,,
B7TWH5,,,,B7TWH5_CEREL,,
B7TWH6,,,,B7TWH6_LEMCA,,
B7TWH7,,,,B7TWH7_CERNI,,
B7TX12,,,,B7TX12_CASFI,,
B7TX13,,,,B7TX13_DAMDA,,
B7TX17,,,,B7TX17_LYNLY,,
B7TYB4,,,,,,B7TYB4_ACYPI
B7U5C4,,,,B7U5C4_AROHI,,
B7U5C5,,,,B7U5C5_9TELE,,
B7U5C6,,,,B7U5C6_9TELE,,
B7U5C7,,,,B7U5C7_9TELE,,
B7U5C8,,,,B7U5C8_9TELE,,
B7U5C9,,,,B7U5C9_9TELE,,
B7U5D0,,,,B7U5D0_SPHPC,,
B7U5D1,,,,B7U5D1_TAKNI,,
B7U5D2,,,,B7U5D2_9TELE,,
B7U5D3,,,,B7U5D3_TAKPA,,
B7U5D4,,,,B7U5D4_9TELE,,
B7U5D5,,,,B7U5D5_9TELE,,
B7U5D6,,,,B7U5D6_9TELE,,
B7U5D7,,,,B7U5D7_9TELE,,
B7U7Q3,,,,B7U7Q3_9TELE,,
B7U7S9,,,,B7U7S9_9TELE,,
B7U7V5,,,,B7U7V5_FUNHE,,
B7U9H6,,,,B7U9H6_9SAUR,,
B7U9I9,,,,B7U9I9_PODMU,,
B7U9K3,,,,B7U9K3_PODSI,,
B7UDV2,,,,B7UDV2_SEBCA,,
B7UDV3,,,,B7UDV3_9TELE,,
B7UDV4,,,,B7UDV4_9TELE,,
B7UDV5,,,,B7UDV5_9TELE,,
B7UDV6,,,,B7UDV6_9TELE,,
B7UDV7,,,,B7UDV7_9TELE,,
B7UDV9,,,,B7UDV9_9TELE,,
B7UJQ4,,B7UJQ4_ECO27,,,,
B7UVQ7,,B7UVQ7_PSEA8,,,,
B7V223,,B7V223_PSEA8,,,,
B7VF41,,B7VF41_TRICA,,,,
B7VQY2,,B7VQY2_VIBTL,,,,
B7X9E1,,,,B7X9E1_CARAU,,
B7X9G5,,,,B7X9G5_9TELE,,
B7XBM4,,,,B7XBM4_LOXAF,B7XBM4_LOXAF,
B7XC83,,,,B7XC83_9TELE,,
B7XC96,,,,B7XC96_9TELE,,
B7XCA9,,,,B7XCA9_9TELE,,
B7XCC2,,,,B7XCC2_9TELE,,
B7XCD5,,,,B7XCD5_9TELE,,
B7XCE8,,,,B7XCE8_9TELE,,
B7ZGZ2,,,,B7ZGZ2_ABAST,,
B7ZH07,,,,B7ZH07_BALUN,,
B7ZH21,,,,B7ZH21_BALVE,,
B7ZH31,,,,B7ZH31_BALCO,,
B7ZH43,,,,B7ZH43_CANMC,,
B7ZH63,,,,B7ZH63_MELVD,,
B7ZH70,,,,B7ZH70_ODONI,,
B7ZH83,,,,B7ZH83_9TELE,,
B7ZHA2,,,,B7ZHA2_RHIAU,,
B7ZHA9,,,,B7ZHA9_XANAR,,
B7ZHC2,,,,B7ZHC2_ACABW,,
B7ZHD8,,,,B7ZHD8_9TELE,,
B7ZHE8,,,,B7ZHE8_AMASC,,
B7ZHG1,,,,B7ZHG1_BRAUL,,
B7ZHH4,,,,B7ZHH4_9TELE,,
B7ZHI7,,,,B7ZHI7_9TELE,,
B7ZHL0,,,,B7ZHL0_9TELE,,
B7ZHM6,,,,B7ZHM6_9TELE,,
B7ZHN9,,,,B7ZHN9_9TELE,,
B7ZHQ2,,,,B7ZHQ2_9TELE,,
B7ZHR5,,,,B7ZHR5_9TELE,,
B7ZHS8,,,,B7ZHS8_PERJA,,
B7ZHU1,,,,B7ZHU1_PSEPN,,
B7ZHV4,,,,B7ZHV4_PSENS,,
B7ZHW7,,,,B7ZHW7_RUDER,,
B7ZHY0,,,,B7ZHY0_SCOGR,,
B7ZIC9,,,,B7ZIC9_ACCGE,,
B7ZJV8,,,,B7ZJV8_CICCI,,
B7ZJV9,,,,B7ZJV9_CICNG,,
B7ZJW0,,,,B7ZJW0_CALDM,,
B7ZJW1,,,,B7ZJW1_9AVES,,
B7ZJW2,,,,B7ZJW2_HYDPE,,
B7ZJW3,,,,B7ZJW3_ARDCI,,
B7ZJW4,,,,B7ZJW4_SPHDE,,
B7ZJW5,,,,B7ZJW5_SPHHU,,
B7ZJW6,,,,B7ZJW6_GAVAR,,
B7ZJW7,,,,B7ZJW7_GAVIM,,
B7ZJW8,,,,B7ZJW8_AECOC,,
B7ZJW9,,,,B7ZJW9_PELOC,,
B7ZJX0,,,,B7ZJX0_MORBA,,
B7ZJX1,,,,B7ZJX1_PHORB,,
B8CKN3,,B8CKN3_SHEPW,,,,
B8CUX3,,B8CUX3_SHEPW,,,,
B8D800,,B8D800_BUCAT,,,,
B8D9P8,,B8D9P8_BUCA5,,,,
B8DAP5,,B8DAP5_LISMH,,,,
B8DKR4,,B8DKR4_DESVM,,,,
B8ECM2,,B8ECM2_SHEB2,,,,
B8ECQ6,,B8ECQ6_SHEB2,,,,
B8EPK2,,B8EPK2_METSB,,,,
B8ES68,,B8ES68_METSB,,,,
B8G6L7,,B8G6L7_CHLAD,,,,
B8G9D4,,B8G9D4_CHLAD,,,,
B8GPT3,,B8GPT3_THISH,,,,
B8GWC3,,B8GWC3_CAUCN,,,,
B8H5D7,,B8H5D7_CAUCN,,,B8H5D7_CAUCN,
B8H8P9,,B8H8P9_ARTCA,,,,
B8HMH6,,B8HMH6_CYAP4,,,,
B8HUS0,,B8HUS0_CYAP4,,,,
B8I9Q2,,B8I9Q2_METNO,,,B8I9Q2_METNO,
B8IBA8,,B8IBA8_METNO,,,,
B8IBB9,,B8IBB9_METNO,,,,
B8IFT1,,B8IFT1_METNO,,,,
B8IHG7,,B8IHG7_METNO,,,,
B8IX59,,B8IX59_METNO,,,,
B8J5S3,,B8J5S3_ANAD2,,,,
B8JDW3,,B8JDW3_ANAD2,,,,
B8LF70,,,,B8LF70_9SAUR,,
B8LJD1,,,,B8LJD1_9SAUR,,
B8PTR9,,,,B8PTR9_BAMTH,,
B8PTT2,,,,B8PTT2_FRAPI,,
B8PYC3,,,,B8PYC3_HYDIN,,
B8Q194,,,,B8Q194_9SCOM,,
B8Q2Z0,,,,B8Q2Z0_9AVES,,
B8Q302,,,,B8Q302_9AVES,,
B8Q315,,,,B8Q315_AEGCI,,
B8Q5G3,,,,B8Q5G3_9SCOM,,
B8Q797,,,,B8Q797_9TELE,,
B8Q798,,,,B8Q798_9TELE,,
B8Q799,,,,B8Q799_9TELE,,
B8Q7A0,,,,B8Q7A0_9TELE,,
B8Q7A1,,,,B8Q7A1_9TELE,,
B8Q7A2,,,,B8Q7A2_9TELE,,
B8Q7A3,,,,B8Q7A3_9TELE,,
B8Q7A4,,,,B8Q7A4_9TELE,,
B8Q7A5,,,,B8Q7A5_9TELE,,
B8Q7A6,,,,B8Q7A6_9TELE,,
B8Q7A7,,,,B8Q7A7_CHLAG,,
B8Q7A8,,,,B8Q7A8_9TELE,,
B8Q7A9,,,,B8Q7A9_9TELE,,
B8Q7B0,,,,B8Q7B0_9TELE,,
B8Q7B1,,,,B8Q7B1_9TELE,,
B8Q7B2,,,,B8Q7B2_HARMI,,
B8Q7B3,,,,B8Q7B3_9TELE,,
B8Q7B4,,,,B8Q7B4_9TELE,,
B8Q7B5,,,,B8Q7B5_9TELE,,
B8Q7B6,,,,B8Q7B6_9TELE,,
B8Q7B7,,,,B8Q7B7_9TELE,,
B8Q7B8,,,,B8Q7B8_9TELE,,
B8Q7B9,,,,B8Q7B9_9TELE,,
B8Q7C0,,,,B8Q7C0_9TELE,,
B8Q7C1,,,,B8Q7C1_9TELE,,
B8Q7C2,,,,B8Q7C2_9TELE,,
B8Q7C3,,,,B8Q7C3_9TELE,,
B8Q7C4,,,,B8Q7C4_9TELE,,
B8Q7C5,,,,B8Q7C5_9TELE,,
B8Q7C6,,,,B8Q7C6_9TELE,,
B8Q7C7,,,,B8Q7C7_9TELE,,
B8Q7C8,,,,B8Q7C8_9TELE,,
B8Q7C9,,,,B8Q7C9_9TELE,,
B8Q7D0,,,,B8Q7D0_SYNVA,,
B8Q7D1,,,,B8Q7D1_SYNIN,,
B8Q7D2,,,,B8Q7D2_9TELE,,
B8Q7D4,,,,B8Q7D4_9TELE,,
B8Q7D5,,,,B8Q7D5_DIPTA,,
B8Q7D6,,,,B8Q7D6_9TELE,,
B8Q7D7,,,,B8Q7D7_9TELE,,
B8Q7D8,,,,B8Q7D8_9TELE,,
B8Q7D9,,,,B8Q7D9_METMU,,
B8QGW1,,,,B8QGW1_9CHON,,
B8QQI1,,,,B8QQI1_NOTFU,,
B8QZJ8,,,,B8QZJ8_9TELE,,
B8QZK0,,,,B8QZK0_LYCTO,,
B8QZK3,,,,B8QZK3_LYCTO,,
B8QZK7,,,,B8QZK7_LYCTO,,
B8QZL0,,,,B8QZL0_9TELE,,
B8QZL1,,,,B8QZL1_9TELE,,
B8QZL5,,,,B8QZL5_9TELE,,
B8QZL6,,,,B8QZL6_9TELE,,
B8QZL9,,,,B8QZL9_9TELE,,
B8QZM0,,,,B8QZM0_9TELE,,
B8QZM3,,,,B8QZM3_9TELE,,
B8R6E8,,,,B8R6E8_9SALA,,
B8R6G1,,,,B8R6G1_9SALA,,
B8R6H7,,,,B8R6H7_9SALA,,
B8R6I7,,,,B8R6I7_9SALA,,
B8R6K0,,,,B8R6K0_9SALA,,
B8R6L3,,,,B8R6L3_9SALA,,
B8R6M6,,,,B8R6M6_CYNPY,,
B8R6N9,,,,B8R6N9_9SALA,,
B8R6Q2,,,,B8R6Q2_9SALA,,
B8R6R5,,,,B8R6R5_9SALA,,
B8R6S8,,,,B8R6S8_9SALA,,
B8R6U1,,,,B8R6U1_9SALA,,
B8R6V4,,,,B8R6V4_9SALA,,
B8R6W7,,,,B8R6W7_9SALA,,
B8R6Y0,,,,B8R6Y0_9SALA,,
B8R6Z3,,,,B8R6Z3_9SALA,,
B8R706,,,,B8R706_NOTVI,,
B8R719,,,,B8R719_9SALA,,
B8R732,,,,B8R732_PARLB,,
B8R745,,,,B8R745_PARCU,,
B8R758,,,,B8R758_9SALA,,
B8R771,,,,B8R771_9SALA,,
B8R784,,,,B8R784_9SALA,,
B8R797,,,,B8R797_PLEWA,,
B8R7B0,,,,B8R7B0_SALSL,,
B8R7C3,,,,B8R7C3_9SALA,,
B8R7D6,,,,B8R7D6_TARGR,,
B8R7E9,,,,B8R7E9_9SALA,,
B8R7G2,,,,B8R7G2_ICHAP,,
B8R7H5,,,,B8R7H5_TRICR,,
B8R7I8,,,,B8R7I8_9SALA,,
B8R7K1,,,,B8R7K1_9SALA,,
B8R7M3,,,,B8R7M3_LISVU,,
B8R7M7,,,,B8R7M7_9SALA,,
