,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A1XV51,,,,A1XV51_9TELE,,
A1XV52,,,,A1XV52_9TELE,,
A1XV53,,,,A1XV53_9TELE,,
A1XV54,,,,A1XV54_9TELE,,
A1XV55,,,,A1XV55_9TELE,,
A1XV56,,,,A1XV56_9TELE,,
A1XV57,,,,A1XV57_9TELE,,
A1XV58,,,,A1XV58_9TELE,,
A1XV59,,,,A1XV59_9TELE,,
A1XV60,,,,A1XV60_9TELE,,
A1XV61,,,,A1XV61_9TELE,,
A1XV62,,,,A1XV62_9TELE,,
A1XV63,,,,A1XV63_HELAV,,
A1XV64,,,,A1XV64_9TELE,,
A1XV65,,,,A1XV65_9TELE,,
A1XV66,,,,A1XV66_9TELE,,
A1XV67,,,,A1XV67_9TELE,,
A1XV68,,,,A1XV68_9TELE,,
A1XV69,,,,A1XV69_9TELE,,
A1XV70,,,,A1XV70_9TELE,,
A1XV71,,,,A1XV71_SEBAU,,
A1XV72,,,,A1XV72_9TELE,,
A1XV73,,,,A1XV73_9TELE,,
A1XV74,,,,A1XV74_9TELE,,
A1Y9T3,,,,A1Y9T3_ONCMA,,
A1YAE6,,,,A1YAE6_ELACE,,
A1YKC6,,,,A1YKC6_CERNT,,
A2BD37,,,,A2BD37_PELSI,,
A2BPS7,,A2BPS7_PROMS,,,,
A2BVA5,,A2BVA5_PROM5,,,,
A2BXG0,,A2BXG0_PROM5,,,,
A2C0Q1,,A2C0Q1_PROM1,,,,
A2C7D3,,A2C7D3_PROM3,,,,
A2CHQ4,,,,A2CHQ4_CROSI,,
A2RPC3,,,,A2RPC3_GADMO,,
A2S097,,A2S097_BURM9,,,,
A2S637,,A2S637_BURM9,,,,
A2SGL3,,A2SGL3_METPP,,,,
A2SKP4,,A2SKP4_METPP,,,A2SKP4_METPP,
A2T1I4,,,,A2T1I4_PHAAF,,
A2T558,,,,,,A2T558_AMPQE
A2VC41,,,,A2VC41_NEOBR,,
A2VC54,,,,A2VC54_9CICH,,
A2VC67,,,,A2VC67_ABUVA,,
A2VC80,,,,A2VC80_AMPOC,,
A2VC93,,,,A2VC93_9LABR,,
A2VCA6,,,,A2VCA6_9LABR,,
A2VCB9,,,,A2VCB9_9TELE,,
A2VCD2,,,,A2VCD2_9CICH,,
A2VCE5,,,,A2VCE5_ASTOC,,
A2VCF8,,,,A2VCF8_9TELE,,
A2VCH1,,,,A2VCH1_9TELE,,
A2VCI4,,,,A2VCI4_OLICY,,
A3CYX4,,A3CYX4_SHEB5,,,,
A3DUL1,,,,A3DUL1_AMMLC,,
A3DUU1,,,,A3DUU1_BUTVI,,
A3DV01,,,,A3DV01_CHOAC,,
A3DV02,,,,A3DV02_CHOAC,,
A3DV08,,,,A3DV08_COCAM,,
A3DW69,,,,A3DW69_VIRSO,,
A3DW76,,,,A3DW76_ACCCO,,
A3DW79,,,,A3DW79_ACCGE,,
A3DW90,,,,A3DW90_AGEPH,,
A3DW95,,,,A3DW95_ALLAL,,
A3DWS0,,,,A3DWS0_CEPGR,,
A3DWS7,,,,A3DWS7_CERAM,,
A3DWU7,,,,A3DWU7_ANSCE,,
A3DWU8,,,,A3DWU8_ANSCE,,
A3DWZ0,,,,A3DWZ0_CONCP,,
A3DX04,,,,A3DX04_COTNO,,
A3DX60,,,,A3DX60_EMPFL,,
A3DXC1,,,,A3DXC1_GAVPA,,
A3DXI6,,,,A3DXI6_LAGMU,,
A3DXL9,,,,A3DXL9_LEUTE,,
A3DXQ4,,,,A3DXQ4_MOLAN,,
A3DXZ5,,,,A3DXZ5_PETPY,,
A3DY31,,,,A3DY31_PHOIM,,
A3DY32,,,,A3DY32_PHOIM,,
A3DY37,,,,A3DY37_PHONG,,
A3DY61,,,,A3DY61_PIROL,,
A3DYE6,,,,A3DYE6_REGSA,,
A3DYI3,,,,A3DYI3_SIASI,,
A3DYI6,,,,A3DYI6_SITCA,,
A3DYI7,,,,A3DYI7_SITCA,,
A3DYI8,,,,A3DYI8_SITCA,,
A3DYK6,,,,A3DYK6_SOMSP,,
A3DYL7,,,,A3DYL7_SPHRU,,
A3DZ30,,,,A3DZ30_9AVES,,
A3DZ72,,,,A3DZ72_AYTCO,,
A3DZ81,,,,A3DZ81_AYTMA,,
A3DZJ6,,,,A3DZJ6_BRACA,,
A3DZJ7,,,,A3DZJ7_BRACA,,
A3DZJ8,,,,A3DZJ8_BRACA,,
A3DZK1,,,,A3DZK1_BRACA,,
A3DZK5,,,,A3DZK5_BRACA,,
A3DZK7,,,,A3DZK7_BRACA,,
A3DZK8,,,,A3DZK8_BRACA,,
A3DZK9,,,,A3DZK9_BRACA,,
A3DZL1,,,,A3DZL1_BRACA,,
A3DZL3,,,,A3DZL3_BRACA,,
A3DZN7,,,,A3DZN7_9AVES,,
A3DZP7,,,,A3DZP7_BUCCL,,
A3DZU6,,,,A3DZU6_CLAHY,,
A3DZU7,,,,A3DZU7_CLAHY,,
A3DZW5,,,,A3DZW5_DENCO,,
A3DZW6,,,,A3DZW6_DENCO,,
A3DZX4,,,,A3DZX4_DENPA,,
A3DZY1,,,,A3DZY1_MUSST,,
A3DZZ1,,,,A3DZZ1_DUMCA,,
A3DZZ2,,,,A3DZZ2_DUMCA,,
A3E003,,,,A3E003_GEOTR,,
A3E008,,,,A3E008_HYLMU,,
A3E009,,,,A3E009_HYLMU,,
A3E013,,,,A3E013_ICTSP,,
A3E026,,,,A3E026_JUNHY,,
A3E029,,,,A3E029_JUNHY,,
A3E045,,,,A3E045_MELFS,,
A3E046,,,,A3E046_MELFS,,
A3E047,,,,A3E047_MELFS,,
A3E048,,,,A3E048_MELFS,,
A3E053,,,,A3E053_MELNI,,
A3E054,,,,A3E054_MELNI,,
A3E059,,,,A3E059_MELGE,,
A3E060,,,,A3E060_MELGE,,
A3E094,,,,A3E094_OXYJA,,
A3E095,,,,A3E095_OXYJA,,
A3E0A5,,,,A3E0A5_PASSN,,
A3E0B0,,,,A3E0B0_PASIL,,
A3E0D1,,,,A3E0D1_REGCA,,
A3E0F9,,,,A3E0F9_PASAH,,
A3E0G7,,,,A3E0G7_SPIPA,,
A3E0H0,,,,A3E0H0_SPIPU,,
A3E0J3,,,,A3E0J3_TURMI,,
A3E0J4,,,,A3E0J4_TURMI,,
A3E0K6,,,,A3E0K6_VERRU,,
A3E0M2,,,,A3E0M2_VIRSO,,
A3E0M6,,,,A3E0M6_WILCA,,
A3E4A9,,,,A3E4A9_MOUSE,,
A3M6Q0,,A3M6Q0_ACIBT,,,,
A3MAZ5,,A3MAZ5_BURM7,,,,
A3MQ35,,A3MQ35_BURM7,,,,
A3MXJ2,,A3MXJ2_PYRCJ,,,,
A3MXJ8,,A3MXJ8_PYRCJ,,,,
A3N5C2,,A3N5C2_BURP6,,,,
A3N651,,A3N651_BURP6,,,,
A3N7S5,,A3N7S5_BURP6,,,,
A3NBL8,,A3NBL8_BURP6,,,,
A3NFM2,,A3NFM2_BURP6,,,,
A3NMY6,,A3NMY6_BURP6,,,,
A3NR20,,A3NR20_BURP0,,,,
A3NRU3,,A3NRU3_BURP0,,,,
A3NTG1,,A3NTG1_BURP0,,,,
A3NXF3,,A3NXF3_BURP0,,,,
A3P1E5,,A3P1E5_BURP0,,,,
A3P8E1,,A3P8E1_BURP0,,,,
A3PBG7,,A3PBG7_PROM0,,,,
A3PH27,,A3PH27_RHOS1,,,,
A3PKJ7,,A3PKJ7_RHOS1,,,,
A3PRD8,,A3PRD8_RHOS1,,,,
A3PXJ4,,A3PXJ4_MYCSJ,,,,
A3Q250,,A3Q250_MYCSJ,,,,
A3Q948,,A3Q948_SHELP,,,,
A3Q9U1,,A3Q9U1_SHELP,,,,
A3R1H3,,,,A3R1H3_9CHIR,,
A3R226,,,,A3R226_LIOSP,,
A3R2Z7,,,,A3R2Z7_STUTI,,
A3R392,,,,A3R392_UROBI,,
A3R454,,,,A3R454_MUSMC,,
A3RIL9,,,,A3RIL9_9SAUR,,
A3RIM5,,,,A3RIM5_9SAUR,,
A3RIM7,,,,A3RIM7_9SAUR,,
A3RIM8,,,,A3RIM8_9SAUR,,
A3RIN0,,,,A3RIN0_9SAUR,,
A3RIN2,,,,A3RIN2_9SAUR,,
A3RIN5,,,,A3RIN5_9SAUR,,
A3RIN7,,,,A3RIN7_9SAUR,,
A3RIN9,,,,A3RIN9_9SAUR,,
A3RIP0,,,,A3RIP0_THAEL,,
A3RIP1,,,,A3RIP1_THACY,,
